Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE,EMA
504478,3.114512,1741.773,44194.790269000,4.214512,0,1741.773
504495,3.114512,1741.773,44194.790281592,4.214512,0,1741.773
504512,3.115815,1720.532,44194.790294184,4.215815,0,1720.532
504529,3.115815,1720.532,44194.790306778,4.215815,0,1720.532
504546,3.117114,1699.291,44194.790319370,4.217114,0,1699.291
504563,3.115815,1699.291,44194.790331963,4.215815,0,1699.291
504580,3.117114,1699.291,44194.790344555,4.217114,0,1699.291
504597,3.117114,1678.049,44194.790357147,4.217114,0,1678.049
504614,3.117114,1678.049,44194.790369741,4.217114,0,1678.049
504631,3.117114,1656.808,44194.790382332,4.217114,0,1656.808
504648,3.115815,1656.808,44194.790394926,4.215815,0,1656.808
504665,3.117114,1635.567,44194.790407518,4.217114,0,1635.567
504682,3.117114,1635.567,44194.790420110,4.217114,0,1635.567
504699,3.117114,1614.327,44194.790432704,4.217114,0,1614.327
504716,3.117114,1614.327,44194.790445295,4.217114,0,1614.327
504733,3.117114,1593.084,44194.790457889,4.217114,0,1593.084
504750,3.117114,1593.084,44194.790470481,4.217114,0,1593.084
504767,3.117114,1593.084,44194.790483073,4.217114,0,1593.084
504784,3.117114,1571.844,44194.790495667,4.217114,0,1571.844
504801,3.117114,1571.844,44194.790508258,4.217114,0,1571.844
504818,3.118417,1550.603,44194.790520852,4.218417,0,1550.603
504835,3.117114,1550.603,44194.790533444,4.217114,0,1550.603
504852,3.117114,1529.362,44194.790546036,4.217114,0,1529.362
504869,3.117114,1529.362,44194.790558630,4.217114,0,1529.362
504886,3.118417,1529.362,44194.790571221,4.218417,0,1529.362
504903,3.118417,1508.12,44194.790583815,4.218417,0,1508.12
504920,3.117114,1508.12,44194.790596407,4.217114,0,1508.12
504937,3.117114,1486.879,44194.790608999,4.217114,0,1486.879
504954,3.117114,1486.879,44194.790621592,4.217114,0,1486.879
504971,3.117114,1486.879,44194.790634184,4.217114,0,1486.879
504988,3.118417,1465.638,44194.790646778,4.218417,0,1465.638
505005,3.117114,1465.638,44194.790659370,4.217114,0,1465.638
505022,3.118417,1444.397,44194.790671962,4.218417,0,1444.397
505039,3.117114,1444.397,44194.790684555,4.217114,0,1444.397
505056,3.118417,1444.397,44194.790697147,4.218417,0,1444.397
505073,3.118417,1423.156,44194.790709741,4.218417,0,1423.156
505090,3.117114,1423.156,44194.790722333,4.217114,0,1423.156
505107,3.118417,1401.915,44194.790734925,4.218417,0,1401.915
505124,3.117114,1401.915,44194.790747518,4.217114,0,1401.915
505141,3.118417,1401.915,44194.790760110,4.218417,0,1401.915
505158,3.117114,1380.673,44194.790772704,4.217114,0,1380.673
505175,3.117114,1380.673,44194.790785296,4.217114,0,1380.673
505192,3.118417,1380.673,44194.790797888,4.218417,0,1380.673
505209,3.117114,1359.432,44194.790810481,4.217114,0,1359.432
505226,3.118417,1359.432,44194.790823073,4.218417,0,1359.432
505243,3.118417,1359.432,44194.790835667,4.218417,0,1359.432
505260,3.118417,1338.191,44194.790848259,4.218417,0,1338.191
505277,3.118417,1338.191,44194.790860851,4.218417,0,1338.191
505294,3.118417,1338.191,44194.790873444,4.218417,0,1338.191
505311,3.118417,1316.95,44194.790886036,4.218417,0,1316.95
505328,3.118417,1316.95,44194.790898628,4.218417,0,1316.95
505345,3.118417,1316.95,44194.790911222,4.218417,0,1316.95
505362,3.119717,1295.709,44194.790923814,4.219717,0,1295.709
505379,3.118417,1295.709,44194.790936407,4.218417,0,1295.709
505396,3.119717,1295.709,44194.790948999,4.219717,0,1295.709
505413,3.119717,1274.468,44194.790961591,4.219717,0,1274.468
505430,3.121015,1274.468,44194.790974185,4.221015,0,1274.468
505447,3.119717,1274.468,44194.790986777,4.219717,0,1274.468
505464,3.121015,1253.227,44194.790999370,4.221015,0,1253.227
505481,3.119717,1253.227,44194.791011962,4.219717,0,1253.227
505498,3.119717,1253.227,44194.791024554,4.219717,0,1253.227
505515,3.121015,1231.985,44194.791037148,4.221015,0,1231.985
505532,3.119717,1231.985,44194.791049740,4.219717,0,1231.985
505549,3.121015,1231.985,44194.791062333,4.221015,0,1231.985
505566,3.121015,1210.744,44194.791074925,4.221015,0,1210.744
505583,3.121015,1210.744,44194.791087519,4.221015,0,1210.744
505600,3.121015,1210.744,44194.791100111,4.221015,0,1210.744
505617,3.121015,1210.744,44194.791112703,4.221015,0,1210.744
505634,3.121015,1189.503,44194.791125296,4.221015,0,1189.503
505651,3.121015,1189.503,44194.791137888,4.221015,0,1189.503
505668,3.122319,1189.503,44194.791150480,4.222319,0,1189.503
505685,3.121015,1168.262,44194.791163074,4.221015,0,1168.262
505702,3.121015,1168.262,44194.791175666,4.221015,0,1168.262
505719,3.121015,1168.262,44194.791188259,4.221015,0,1168.262
505736,3.119717,1147.021,44194.791200851,4.219717,0,1147.021
505753,3.121015,1147.021,44194.791213443,4.221015,0,1147.021
505770,3.121015,1147.021,44194.791226037,4.221015,0,1147.021
505787,3.121015,1147.021,44194.791238629,4.221015,0,1147.021
